INDEX_MODEL,CUSTOMER,SKU_NO,BARCODE,SKU_NAME,MODEL,SKU_TYPE,USE_SELLOUT,USE_STOCK,CHK_CAT,CHK_SUB_CAT,SIZE,REMARK,REMARK
MK-932098-8855671031820,MK,932098,8.85567E+12,#HAIERค.ทำน้ำอุ่น#EI45M-B1W 4500W,EI45M-B1W(TH),SELLABLE,,,WH,Manual,4500W,,
MK-365058-8855671027298,MK,365058,8.85567E+12,ตชว.HAIER#JC-116/1D/4.2Q,JC-116,SELLABLE,,,FZ,Wine,49Bottle,,
MK-844827-8855671033770,MK,844827,8.85567E+12,ตชย.HAIER#SC2600PCS3-V3/3D/54.3Q,SC-2600PCS3-V3,SELLABLE,,,FZ,Beverage,55.3Q,,
MK-624127-8859474604717,MK,624127,8.85947E+12,ไฮเออร์ ต.เย็น8.3Q 2ต.HRF-RT235MN,HRF-RT235MN NS,SELLABLE,,,RF,2Dr,8.3Q,,
MK-661295-8855671029988,MK,661295,8.85567E+12,ไฮเออร์ ค.ซัก1ถ 10กก#HWM100-316S6,HWM100-316S6,SELLABLE,,,WM,Top Load,10.0KG,,
MK-728751-6976454833201,MK,728751,6.97645E+12,ไฮเออร์65นิ้ว#H65K85FUX GOOGLE TV,H65K85FUX,SELLABLE,,,TV,UHD,"65""",,
MK-739008-6976454833669,MK,739008,6.97645E+12,ไฮเออร์ 32 นิ้ว #32H5F GOOGLE TV,32H5F,SELLABLE,,,TV,FHD,"32""",,
MK-101490-6971926014980,MK,101490,6.97193E+12,ไฮเออร์ 32 นิ้ว#H32F6000 DTV,H32F6000,SELLABLE,,,TV,FHD,"32""",,
MK-937131-6976454833409,MK,937131,6.97645E+12, ไฮเออร์55นิ้ว#H55K85FUX GOOGLETV,H55K85FUX,SELLABLE,,,TV,UHD,"55""",,
MK-746737-6976454832648,MK,746737,6.97645E+12, ไฮเออร์ 40นิ้ว#H40K6FG GOOGLE TV,H40K6FG PLUS,SELLABLE,,,TV,FHD,"40""",,
MK-666439-6976454833126,MK,666439,6.97645E+12,ไฮเออร์43นิ้ว#H43K85FFX GOOGLE TV,H43K85FFX,SELLABLE,,,TV,UHD,"43""",,
MK-927273-,MK,927273,,HAIERต.เย็นSBS 21.7Q#HRF-SBS636MS,HRF-SBS636 MS,SELLABLE,,,RF,SBS,21.8Q,,
MK-921616-,MK,921616,,ค.ซักอบ10/6HAIER#HWD100-BP14959S8,HWD100-BP14959S8,SELLABLE,,,WM,FL Wash&Dry,10.0/6.0KG,,
MK-854117-,MK,854117,,ค.ซักผ้า2T14KG HAIER#HWM140 OXIGB,HWM140 OXIGB,SELLABLE,,,WM,Top Load,14.0KG,,
MK-910211-,MK,910211,,#HAIER ค.น้ำอุ่น3500W#EI35M-F1CWB,EI35M-F1CWB(TH),SELLABLE,,,WH,Manual,3500W,,
MK-909919-,MK,909919,,ตชข.HAIER#HCF428DP/1D/13.3Q,HCF-428DP,SELLABLE,,,FZ,Chest,13.4Q,,
MK-967787-6930265307634,MK,967787,6.93027E+12,ตชย.HAIER#SC-652BPC/2D/22Q_PRE,SC-652BPC,SELLABLE,,,FZ,Beverage,27.0Q,,
MK-706722-6930265301991,MK,706722,6.93027E+12,ตชข.HAIER#HCF-568M/2D/17.7_PRE,HCF-568M,SELLABLE,,,FZ,Chest,18.3Q,,
MK-377790-6930265301625,MK,377790,6.93027E+12,ตชข.HAIER#HCF-478M/14.8_PRE,HCF-478M,SELLABLE,,,FZ,Chest,15.2Q,,
MK-712143-8855671033909,MK,712143,8.85567E+12,HAIER ค.ทำน้ำอุ่น EI45MJ1CWF ขาว,EI45M-J1CW-F(TH),SELLABLE,,,WH,Manual,4500W,,
MK-764522-8855671033862,MK,764522,8.85567E+12,HAIER ค.ทำน้ำอุ่น EI45MD1W ขาว,EI45M-D1W(TH),SELLABLE,,,WH,Manual,4500W,,
MK-981861-8855671033855,MK,981861,8.85567E+12,HAIER ค.ทำน้ำอุ่น EI35MD1W  ขาว,EI35M-D1W(TH),SELLABLE,,,WH,Manual,3500W,,
MK-123505-88556710,MK,123505,88556710,HAIER แอร์ 18000BTU#HSU-18VQRC03T,HSU-18VQRC03T,SELLABLE,,,AC,Inverter,18KBTU,,
MK-345590-88556710324,MK,345590,88556710324,HAIER แอร์ 12300BTU#HSU-12VQRC03T,HSU-12VQRC03T,SELLABLE,,,AC,Inverter,12KBTU,,
MK-884773-8855671032,MK,884773,8855671032,HAIER แอร์ 9200BTU#HSU-09VQRC03T,HSU-09VQRC03T,SELLABLE,,,AC,Inverter,9KBTU,,
MK-665950-88556710325,MK,665950,88556710325,HAIER แอร์ 12300BTU#HSU-12VQEC03T,HSU-12VQEC03T,SELLABLE,,,AC,Inverter,12KBTU,,
MK-636985-88556710354460,MK,636985,8.85567E+13,HAIER ค.ซัก14กก #HW140BD14697WU1 ,HW140-BD14697WU1,SELLABLE,,,WM,Front Load,14.0KG,,
MK-206871-8855671033138,MK,206871,8.85567E+12,ไฮเออร์ แอร์ 24500BTU#HPU24FSE03T,HPU-24FSE03T,SELLABLE,,,AC,Floor Standing,24KBTU,,
MK-383029-6930265302325,MK,383029,6.93027E+12,PreB_ตชย.HAIER #SC-412BPC/14Q,SC-412BPC,SELLABLE,,,FZ,Beverage,13.8Q,,
MK-983451-885567103213,MK,983451,8.85567E+11,PreBHAIERแอร์23200BTU#HSU-24VQRC0,HSU-24VQRC05,SELLABLE,,,AC,Inverter,24KBTU,,
MK-315962-8855671027328,MK,315962,8.85567E+12,PreBตชข.กระจกHAIER#SD-407DP/10.3Q,SD-407DP,SELLABLE,,,FZ,Glass,10.3Q,,
MK-149522-8855671024754,MK,149522,8.85567E+12,PreB_ตชข.HAIER#HCF-300DP/1D/8.9Q,HCF-300DP,SELLABLE,,,FZ,Chest,8.9Q,,
MK-253720-6930265364323,MK,253720,6.93027E+12,PreB_ตชย.HAIER #SC-340BPC/11.3Q,SC-340BPC,SELLABLE,,,FZ,Beverage,11.3Q,,
MK-173463-8855671027335,MK,173463,8.85567E+12,PreB_ตชขกจ.HAIER#SD-517DP/12.9Q,SD-517DP,SELLABLE,,,FZ,Glass,12.9Q,,
MK-750742-6930265309768,MK,750742,6.93027E+12,PreBตชขHAIER HCF-728DPV2/2D/24.9Q,HCF-728DPV2,SELLABLE,,,FZ,Chest,25.4Q,,
MK-687838-2500006878385,MK,687838,2.50001E+12,PM_กระเป๋าเก็บความเย็น,N/A,N/A,,,N/A,N/A,N/A,,
MK-870857-2500008708574,MK,870857,2.50001E+12,PM_ร่ม HAIER,N/A,N/A,,,N/A,N/A,N/A,,
MK-969748-2500009697488,MK,969748,2.50001E+12,PM_ผ้ากันเปื้อน,N/A,N/A,,,N/A,N/A,N/A,,
MK-114558-6976454836288,MK,114558,6.97645E+12,ไฮเออร์ 32นิ้ว #H32K70G DTV,H32K70G,SELLABLE,,,TV,UHD,"32""",,
MK-959251-6930265303957,MK,959251,6.93027E+12,PreB_ตชข.HAIER#BD-276B/1D/9.7Q,BD-276B,SELLABLE,,,FZ,Vertical,9.7Q,,
MK-636985-8855671035446,MK,636985,8.85567E+12,PreHAIER ค.ซัก14กก#HW140BD14697WU,HW140-BD14697WU1,SELLABLE,,,WM,Front Load,14.0KG,,
MK-682770-6976454837131,MK,682770,6.97645E+12,ไฮเออร์ 55นิ้ว #H55K85GUX UHD,H55K85GUX,SELLABLE,,,TV,UHD,"55""",,
MK-236725-6976454836172,MK,236725,6.97645E+12,ไฮเออร์ 43นิ้ว #H43S70GFX QLED,H43S70GFX,SELLABLE,,,TV,FHD,"43""",,
MK-164321-8855671034432,MK,164321,8.85567E+12,Preไฮเออร์คซผ.ฝาหน้า14กก#HW140BP1,HW140-BP14367S8U1,SELLABLE,,,WM,Front Load,14.0KG,,
MK-147645-6976454836189,MK,147645,6.97645E+12,ไฮเออร์ 32นิ้ว #H32S70GFX QLED,H32S70GFX,SELLABLE,,,TV,FHD,"32""",,
MK-899655-2500008996551,MK,899655,2.50001E+12,PreB_ตชบ.HAIER#HCF-SB228/1D/7Q,HCF-SB228,SELLABLE,,,FZ,Chest,7.0Q,,
MK-689506-2500006895061,MK,689506,2.50001E+12,PM_กระเป๋าHaier,N/A,N/A,,,N/A,N/A,N/A,,
MK-991771-6930265304985,MK,991771,6.93027E+12,ตชย.HAIER#SC-340M/1D/11.3Q,SC-340M,SELLABLE,,,FZ,Beverage,11.3Q,,
