INDEX_MODEL,CUSTOMER,SKU_NO,BARCODE,SKU_NAME,MODEL,SKU_TYPE,USE_SELLOUT,USE_STOCK,CHK_CAT,CHK_SUB_CAT,SIZE,REMARK,REMARK
MK-841670-,MK,841670,,#ต.เย็น1ต. 6.3Q HAIER#HR-CEQ18 HP,HR-CEQ18 HP,SELLABLE,,,RF,1Dr,6.3Q,,
MK-857637-8859474602263,MK,857637,8.85947E+12,#ต.เย็น1ต.HAIER  6.3Q#HRCEQ18 HS,HR-CEQ18 HS,SELLABLE,,,RF,1Dr,6.3Q,,
MK-841672-8855671018074,MK,841672,8.85567E+12,#ต.เย็น2ต. 6.2Q. HAIER#HRF-170MNI,HRF-170MNI,SELLABLE,,,RF,2Dr,7.2Q,,
MK-371707-8855671033718,MK,371707,8.85567E+12,HAIER_ตู้เย็น2ต. 6.6Q #HRF- 185MN,HRF-185MN,SELLABLE,,,RF,2Dr,6.6Q,,
MK-843436-8855671018203,MK,843436,8.85567E+12,#ต.เย็น2ต.8.4QHAIER#HRF-230MGIMD,HRF-230MGIMD GB,SELLABLE,,,RF,2Dr,8.4Q,,
MK-843435-,MK,843435,,#ต.เย็น2ต.8.4QHAIER#HRF-230MNIDL,HRF-230MNIDL SV,SELLABLE,,,RF,2Dr,8.4Q,,
MK-912024-,MK,912024,,#ต.เย็น2D 8.7Q HAIER # HRF-25DF,HRF-25DF,SELLABLE,,,RF,2Dr,8.7Q,,
MK-843434-8855671018227,MK,843434,8.85567E+12,#ต.เย็น2ต.9.6QHAIER#HRF-260MGIMD,HRF-260MGIMD GB,SELLABLE,,,RF,2Dr,9.6Q,,2026.02.21 Change from HRF-260MGIMD to HRF-260MGIMD GB
MK-843433-,MK,843433,,#ต.เย็น2ต.9.6QHAIER#HRF-260MNIDL,HRF-260MNIDL SV,SELLABLE,,,RF,2Dr,9.6Q,,
MK-927277-8859474603215,MK,927277,8.85947E+12,HAIER REF2D 12.6Q# HRF350MNI,HRF-350MNI BK,SELLABLE,,,RF,2Dr,11.4Q,,
MK-853126-8936017277727,MK,853126,8.93602E+12,#ต.เย็น 2D 9.6Q HAIER#HRF-BM255MI,HRF-BM255MI,SELLABLE,,,RF,BM,9.2Q,,
MK-908567-,MK,908567,,ต.เย็น1D 6.8Q HAIER #HRF-HM18PS,HR-HM18 PS,SELLABLE,,,RF,1Dr,6.8Q,,09.12.2025 Changed HRF-HM18PS > HR-HM18 PS
MK-862561-8855671023177,MK,862561,8.85567E+12,ต.เย็น4ต. 12Q HAIER #HRF-MD350,HRF-MD350 GB,SELLABLE,,,RF,Multi Dr,13.6Q,,
MK-899660-,MK,899660,,#ต.เย็น4ต.16.1Q HAIER#HRF-MD456GB,HRF-MD456 GB,SELLABLE,,,RF,Multi Dr,16.1Q,,
MK-927275-8859474603802,MK,927275,8.85947E+12,HAIER REF MUL-DOOR#HRFMD469M16.1Q,HRF-MD469M MB,SELLABLE,,,RF,Multi Dr,16.1Q,,
MK-849106-8855671015189,MK,849106,8.85567E+12,#ต.เย็นSBS18.6QHAIER#HRF-SBS528GB,HRF-SBS528 GB,SELLABLE,,,RF,SBS,18.6Q,,
MK-849104-8855671015196,MK,849104,8.85567E+12,#ต.เย็นSBS18.6QHAIER#HRF-SBS528GG,HRF-SBS528 GG,SELLABLE,,,RF,SBS,18.6Q,,
MK-849105-8855671015172,MK,849105,8.85567E+12,#ต.เย็นSBS18.6QHAIER#HRF-SBS528GS,HRF-SBS528 GS,SELLABLE,,,RF,SBS,18.6Q,,
MK-864966-,MK,864966,,ต.เย็นSBS 21.3Q HAIER#HRF-SBS600,HRF-SBS600 GBR,SELLABLE,,,RF,SBS,21.3Q,,
MK-927273-6901018089466,MK,927273,6.90102E+12,HAIERต.เย็นSBS 21.7Q#HRF-SBS636MS,HRF-SBS636 MS,SELLABLE,,,RF,SBS,21.8Q,,
MK-925264-8855671027267,MK,925264,8.85567E+12,ตู้เย็น2D 6.5Q HAIER#HRF-THM18NS,HRF-THM18NS,SELLABLE,,,RF,2Dr,6.5Q,,
MK-857211-,MK,857211,,#ต.เย็น2ต.7.4Q HAIER #HRF-THM20N,HRF-THM20N,SELLABLE,,,RF,2Dr,7.3Q,,
MK-901497-8855671023122,MK,901497,8.85567E+12,#ต.เย็น2D7.2QHAIER#HRF-THM20NS(W),HRF-THM20NS,SELLABLE,,,RF,2Dr,7.3Q,,
MK-899658-8855671019248,MK,899658,8.85567E+12,#ต.เย็น2D 9.1Q HAIER #HRF-THM25NS,HRF-THM25NS,SELLABLE,,,RF,2Dr,9.1Q,,
MK-927183-8855671032872,MK,927183,8.85567E+12,HAIER ต.เย็น2ต. 8.7Q HRF-THM260N,HRF-THM260N,SELLABLE,,,RF,2Dr,8.7Q,,
MK-861644-,MK,861644,,#ต.เย็น2D 9.1Q HAIER #HRF-THM26I,HRF-THM26I,SELLABLE,,,RF,2Dr,9.1Q,,
MK-899659-,MK,899659,,#ต.เย็น2D12.2Q HAIER #HRF-THM35NS,HRF-THM35NS,SELLABLE,,,RF,2Dr,12.2Q,,
MK-861645-8855671022453,MK,861645,8.85567E+12,#ต.เย็น2D12.2QHAIER #HRF-THM36I,HRF-THM36I,SELLABLE,,,RF,2Dr,12.2Q,,
